수율,형태,생산중량,제품길이,제품두께,품종,완제형태,Billet 규격,Hole수
0.80595,환봉,2321,3000,28,3771,ROD,1600,1
0.907964,환봉,2346,6000,20,3772,ROD,1600,1
0.759061,환봉,1546,3400,34,3772,ROD,1600,1
0.576655,육각,3448.65,2500,21,3604,ROD,1200,1
0.830751,환봉,3092,4000,40,3772,ROD,1600,1
0.808908,환봉,3092,3000,31.75,3772,ROD,1600,1
0.772906,환봉,2300,3000,24,3772,ROD,1600,1
0.851724,환봉,2315,3770,20,3772,ROD,1600,1
0.742221,환봉,1777.944,0,12.7,1100,Coil,900,1
0.775503,환봉,3128,4000,40,3772,ROD,1600,1
0.709018,환봉,3092,5500,30,3772,ROD,1600,1
0.59458,육각,585,2500,16,3604,ROD,1200,1
0.637195,환봉,1562,2500,30,3604,ROD,1600,1
0.805785,환봉,2370,2500,15,3604,ROD,1600,1
0.777833,환봉,3087.1,3400,30,3772,ROD,1600,1
0.807266,환봉,1562,2500,13.5,3773,ROD,1600,1
0.793651,환봉,3100,4000,32,3771,ROD,1600,1
0.839905,환봉,840,0,9,2700,Coil,900,3
0.746772,환봉,2319,3000,70,3772,ROD,1600,1
0.762666,환봉,1728,4000,50,3772,ROD,1200,1
0.730327,환봉,1028,0,6,3604,Coil,1200,2
0.829781,환봉,2324,3657,12.7,3606,ROD,1200,1
0.721042,환봉,2419,4000,26,3771,ROD,1600,1
0.566667,육각,3492,2500,41,3604,ROD,1200,1
0.791667,환봉,868,0,10,1100,Coil,900,3
0.858279,환봉,2340,3770,20,3772,ROD,1600,1
0.790684,환봉,2304,4000,43,3772,ROD,1200,1
0.846716,환봉,2346,6000,25,3772,ROD,1600,1
0.878261,환봉,888.613,0,9,2700,Coil,900,3
0.854988,환봉,2346,4000,19,3773,ROD,1600,1
0.80624,환봉,1152,1500,50.8,3772,ROD,1200,1
0.870342,환봉,2300,3770,20,3772,ROD,1600,1
0.888823,환봉,2346,5000,22,3773,ROD,1600,1
0.835617,환봉,2346,4000,28,3773,ROD,1600,1
0.757724,육각,1116.545,3000,15,3604,ROD,1200,1
0.862602,환봉,2370,2500,21,3604,ROD,1600,1
0.67423,육각,2307,3000,18.8,3602,ROD,1200,1
0.777553,환봉,2370,2500,16,3604,ROD,1600,1
0.622537,환봉,1546,3000,36,3772,ROD,1600,1
0.776595,환봉,3100,4000,32,3771,ROD,1600,1
0.782013,환봉,2448,2500,16.5,3604,ROD,1600,1
0.843862,환봉,3092,4000,38,3772,ROD,1600,1
0.767488,환봉,2346,4000,23.5,3772,ROD,1600,1
0.877174,환봉,819,0,9,2700,Coil,900,3
0.869106,환봉,2370,2500,21.5,3604,ROD,1600,1
0.888475,환봉,2315.325,6000,18,3772,ROD,1600,1
0.848757,환봉,2346,4000,20,3773,ROD,1600,1
0.596059,환봉,1706,3000,11.5,3772,ROD,1200,1
0.756773,환봉,3092,3500,32,3772,ROD,1600,1
0.678659,환봉,1576,2500,15,3604,ROD,1600,1
0.765528,환봉,2370,3000,27.8,3604,ROD,1600,1
0.798293,환봉,1576,3000,22,3604,ROD,1600,1
0.818606,환봉,3092,4000,30,3773,ROD,1600,1
0.726199,환봉,1138,3560,8,3772,ROD,1200,3
0.710705,환봉,1198.613,3000,10.5,3604,ROD,1200,3
0.894527,환봉,840,0,9,2700,Coil,900,3
0.861807,환봉,2346,4000,26.5,3773,ROD,1600,1
0.623987,육각,1854,2000,14,3602,ROD,1200,1
0.848635,환봉,833,0,7,2720,Coil,900,3
0.818436,환봉,3100,3000,32,3771,ROD,1600,1
0.830895,환봉,3045.844,4000,40,3772,ROD,1600,1
0.885963,환봉,2089.447,3000,10.5,3773,ROD,1200,1
0.781866,환봉,3092,3500,36,3772,ROD,1600,1
